# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
600	0.827450	0.002150	0.522743	0.005503	0.268441	0.006144	0.117631	0.005734	0.043152	0.005726	0.012037	0.004101	0.001833	0.002057	-0.001196	0.002980	-0.000868	0.001985	-0.003549	0.004183	-0.000588	0.002384
601	0.827855	0.001715	0.525174	0.003780	0.276022	0.004956	0.122917	0.004444	0.045293	0.003973	0.012307	0.002387	0.006559	0.002331	-0.000193	0.002394	0.001736	0.002398	-0.000656	0.001654	-0.001263	0.001819
602	0.826235	0.001372	0.524113	0.003551	0.276080	0.004042	0.121065	0.002574	0.040529	0.003670	0.008931	0.001690	-0.002373	0.003302	0.000463	0.001720	-0.001080	0.002358	0.002855	0.000960	-0.001408	0.002030
603	0.827778	0.001634	0.527623	0.003794	0.283661	0.005619	0.129167	0.005838	0.052778	0.004514	0.013465	0.003085	0.006694	0.002881	-0.004340	0.002900	-0.003588	0.002897	-0.000424	0.002672	0.000367	0.001050
604	0.830208	0.001319	0.531771	0.003734	0.281269	0.006688	0.121354	0.004999	0.042535	0.002738	0.012481	0.002646	0.003704	0.003246	-0.001755	0.001371	-0.001350	0.002784	0.002758	0.002926	0.001900	0.001644
605	0.830478	0.001781	0.530266	0.005299	0.283411	0.005740	0.128607	0.002871	0.049788	0.003119	0.013291	0.001588	0.000849	0.002309	-0.003974	0.000631	-0.001929	0.002391	-0.004745	0.000786	0.000202	0.001002
606	0.830517	0.001141	0.532793	0.002385	0.285667	0.002105	0.127064	0.001357	0.047164	0.003407	0.009317	0.004465	-0.001215	0.004442	-0.002411	0.002050	-0.003530	0.002508	-0.000868	0.000808	0.003144	0.002146
607	0.829147	0.001043	0.530266	0.002342	0.280015	0.002234	0.126794	0.001397	0.048283	0.003789	0.012481	0.004057	0.003530	0.002647	0.000945	0.003220	-0.006289	0.002146	-0.000232	0.002055	0.000646	0.002131
608	0.829610	0.001725	0.527816	0.003927	0.281790	0.004355	0.129012	0.004212	0.047955	0.004665	0.016416	0.003249	0.005401	0.001185	-0.004958	0.001770	-0.004611	0.002598	-0.007215	0.002085	0.001032	0.002322
609	0.829552	0.002063	0.530382	0.003694	0.277990	0.005764	0.123341	0.005267	0.050559	0.002483	0.016667	0.002007	0.006578	0.002213	-0.003569	0.000948	-0.001543	0.002574	-0.002990	0.004497	0.002614	0.002284
